emai,senha
0.8631443422720931@mail.com,user123
0.8637591746359959@mail.com,user123
0.5108638565798409@mail.com,user123
0.4239721285750401@mail.com,user123
0.6032025902599671@mail.com,user123
0.6599848682653019@mail.com,user123
0.2845011903079556@mail.com,user123
0.8561294978410632@mail.com,user123
0.05673616228730181@mail.com,user123
0.750062383218534@email.com,user1234
0.03742624072932044@email.com,user1234
0.5397754538689317@email.com,user1234
0.6105630677458059@email.com,user1234
0.7205890517713468@email.com,user1234
0.8688852978643241@email.com,user1234
0.89318214404316@email.com,user1234
0.8184385043135871@email.com,user1234
0.015520806704304564@email.com,user1234
